*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.1 Final Today
*Date=22:41:21
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;1k;THT;81.0562;-12.777;0;Bottom;R39
2;;;24.5411;-67.387;0;Bottom;Via34
3;;3 mm [THT];13.7698;-89.0564;0;Bottom;LED3
4;;;1.9635;-16.2342;0;Bottom;TXT11
5;;3 mm [THT];46.1313;-89.668;0;Bottom;LED1
6;;300 mil [THT];77.8812;-88.3674;90;Bottom;D15
7;;;88.6761;-65.482;0;Bottom;Via41
8;;;92.8438;-18.5163;-90;Bottom;TXT4
9;;;38.1583;-15.9521;0;Bottom;Via31
10;;THT;9.9362;-19.127;0;Bottom;J38
11;;THT;7.3962;-19.127;0;Bottom;J50
12;;THT;90.5812;-24.842;0;Bottom;JP2
13;1µF;0805 [SMD, multilayer];19.4612;-70.172;90;Top;C20
14;100k;THT;86.1362;-44.527;180;Bottom;R36
15;;;67.7211;-36.907;0;Bottom;Via45
16;2.49k;0805 [SMD];44.2262;-17.4669;90;Top;R3
17;;THT;9.9362;-29.287;0;Bottom;J43
18;;THT;70.8962;-69.292;0;Bottom;JP1
19;;;24.5411;-83.8971;0;Bottom;Via27
20;470;THT;70.2612;-22.302;-90;Bottom;R22
21;470;THT;42.3212;-22.937;-90;Bottom;R4
22;;;8.6661;-49.607;0;Bottom;Via36
23;100k;THT;55.0212;-71.832;90;Bottom;R56
24;;TO220 [THT];6.1262;-82.373;180;Bottom;Q4
25;;3 mm [THT];46.1313;-84.588;0;Bottom;LED2
26;;;96.9311;-19.7621;0;Bottom;Via26
27;;THT;9.9362;-8.96696;-90;Bottom;J66
28;;THT;84.2312;-10.237;-90;Bottom;JP5
29;100k;THT;57.5612;-71.832;90;Bottom;R48
30;;v18za2p;86.1362;-90.247;-90;Bottom;U2
31;;THT;15.0162;-24.207;0;Bottom;J14
32;0.1µF;200 mil [THT, multilayer];39.7812;-9.60196;180;Bottom;C3
33;;;16.2861;-44.527;0;Bottom;Via38
34;;THT;15.0162;-19.127;0;Bottom;J16
35;;;33.4311;-37.542;0;Bottom;Via7
36;160;THT;65.8162;-69.927;-90;Bottom;R27
37;;;64.5461;-73.737;0;Bottom;Via19
38;;;25.1761;-29.287;0;Bottom;Via48
39;;;4.2211;-67.387;0;Bottom;Via16
40;;THT;15.0162;-26.747;0;Bottom;J13
41;1µF;0805 [SMD, multilayer];67.7212;-56.982;-90;Top;C11
42;;;93.1211;-25.477;0;Bottom;Via50
43;750;THT;6.7612;-48.337;180;Bottom;R41
44;;THT;9.9362;-24.207;0;Bottom;J36
45;;300 mil [THT];6.1008;-92.787;0;Bottom;D12
46;;;92.8021;-22.2818;-90;Bottom;TXT4
47;;300 mil [THT];6.1008;-95.962;0;Bottom;D11
48;;;72.8011;-44.527;0;Bottom;Via28
49;;THT;12.4762;-34.367;0;Bottom;J29
50;;300 mil [THT];49.3316;-94.692;180;Bottom;D10
